"pump_status","sensor_readings__|","sensor_readings__|__ldr","sensor_readings__|__pump_status","sensor_readings__|__soil_moisture","sensor_readings__|__temperature","sensor_readings__|__timestamp"
"","676","2193","False","563","29.25","676"
"","681","2183","True","564","30.1875","681"
"","686","2224","True","561","31","686"
"","690","2262","True","561","31.5","690"
"","695","2247","True","559","31.9375","695"
"","699","2224","True","559","32.3125","699"
"","703","2241","True","559","32.625","703"
"","708","2256","True","557","32.9375","708"
"","712","2261","True","555","33.1875","712"
"","716","2241","True","557","33.4375","716"
"","722","2258","True","554","33.75","722"
"","727","2224","True","555","33.625","727"
"","732","2256","True","554","33.3125","732"
"","737","2256","True","553","33.125","737"
"","741","2224","True","553","32.9375","741"
"","745","2256","True","554","32.6875","745"
"","750","2241","True","553","32.5625","750"
"","754","2256","True","554","32.375","754"
"","758","2242","True","550","32.25","758"
"","763","2255","True","551","32.0625","763"
"","767","2222","True","551","31.9375","767"
"","771","2258","True","550","31.8125","771"
"","775","2229","True","554","31.625","775"
"","780","2224","True","551","31.5625","780"
"","784","2227","True","551","31.4375","784"
"","788","2251","True","550","31.3125","788"
"","792","2250","True","546","31.25","792"
"","797","2222","True","549","31.125","797"
"","801","2213","True","548","31","801"
"","805","2263","True","548","30.875","805"
"","810","2224","True","554","30.75","810"
"","814","2239","True","553","30.6875","814"
"","819","2219","True","555","30.5625","819"
"","824","2225","True","554","30.4375","824"
"","828","2212","True","553","30.3125","828"
"","833","2215","True","552","30.25","833"
"","837","2236","True","553","30.0625","837"
"","841","2245","True","556","30","841"
"","846","2256","False","553","29.9375","846"
"","851","2182","False","552","29.75","851"
"","856","2188","False","551","29.6875","856"
"","860","2192","False","552","29.625","860"
"","864","2163","False","555","29.5","864"
"","868","2181","False","553","29.4375","868"
"","873","2163","False","551","29.3125","873"
"","877","2163","False","554","29.3125","877"
"","881","2189","False","556","29.1875","881"
"","886","2158","False","556","29.0625","886"
"","890","2182","False","554","29","890"
"","894","2157","False","555","28.875","894"
"","899","2196","False","553","28.8125","899"
"","904","2198","False","552","28.75","904"
"","909","2205","False","552","28.6875","909"
"","914","2163","False","551","28.5625","914"
"","919","2203","False","552","28.5","919"
"","923","2175","False","554","28.375","923"
"","927","2166","False","554","28.375","927"
"","932","2177","False","554","28.25","932"
"","936","2197","False","552","28.25","936"
"","940","2171","False","554","28.125","940"
"","944","2178","False","551","28","944"
"","949","2191","False","554","28","949"
"","953","2218","False","551","27.9375","953"
"","957","2167","False","550","27.8125","957"
"","962","2189","False","554","27.75","962"
"","966","2181","False","552","27.6875","966"
"","970","2224","False","552","27.625","970"
"","975","2203","False","552","27.5625","975"
"","979","2216","False","553","27.4375","979"
"","983","2210","False","551","27.5","983"
"","988","2215","False","551","27.4375","988"
"","992","2203","False","553","27.3125","992"
"","996","2195","False","551","27.3125","996"
"","1002","2182","False","549","27.1875","1002"
"","1006","2181","False","550","27.1875","1006"
"","1010","2192","False","551","27.125","1010"
"","1015","2211","False","551","27","1015"
"","1019","2195","False","549","27","1019"
"","1023","2207","False","549","26.9375","1023"
"","1028","2194","False","551","26.875","1028"
"","1032","2187","False","551","26.8125","1032"
"","1036","2227","False","552","26.75","1036"
"","1041","2224","False","549","26.75","1041"
"","1046","2217","False","551","26.6875","1046"
"","1050","2206","False","552","26.625","1050"
"","1054","2230","False","549","26.5625","1054"
"","1059","2210","False","551","26.5","1059"
"","1063","2234","False","552","26.4375","1063"
"","1067","2229","False","551","26.4375","1067"
"","1071","2192","False","551","26.375","1071"
"","1076","2235","False","551","26.375","1076"
"","1080","2210","False","551","26.3125","1080"
"","1084","2176","False","551","26.25","1084"
"","1090","2227","False","550","26.25","1090"
"","1096","2202","False","551","26.1875","1096"
"","1100","2215","False","553","26.125","1100"
"","1104","2222","False","554","26.0625","1104"
"","1109","2236","False","552","26","1109"
"","1113","2210","False","557","26","1113"
"","1117","2243","False","552","25.9375","1117"
"","1122","2240","False","555","25.9375","1122"
"","1126","2250","False","551","25.875","1126"
"","1130","2209","False","551","25.875","1130"
"","1134","2222","False","532","25.875","1134"
"","1139","2227","False","551","25.8125","1139"
"","1143","2213","False","551","25.75","1143"
"","1147","2254","False","551","25.75","1147"
"","1152","2245","False","551","25.6875","1152"
"","1156","2256","False","551","25.6875","1156"
"","1160","2229","False","551","25.625","1160"
"","1165","2252","False","551","25.625","1165"
"","1169","2221","False","551","25.5625","1169"
"","1174","2224","False","553","25.5","1174"
"","1178","2257","False","552","25.5625","1178"
"","1183","2253","False","552","25.4375","1183"
"","1188","2224","False","551","25.4375","1188"
"","1192","2241","False","551","25.4375","1192"
"","1196","2228","False","550","25.375","1196"
"","1200","2245","False","548","25.375","1200"
"","1205","2254","False","548","25.3125","1205"
"","1209","2224","False","547","25.25","1209"
"","1213","2256","False","549","25.3125","1213"
"","1218","2255","False","549","25.3125","1218"
"","1222","2256","False","548","25.25","1222"
"","1226","2242","False","546","25.1875","1226"
"","1230","2241","False","543","25.1875","1230"
"","1235","2245","False","549","25.1875","1235"
"","1239","2194","False","551","25.125","1239"
"","1243","2206","False","550","25.125","1243"
"","1248","2211","False","550","25.125","1248"
"","1252","2274","False","550","25.0625","1252"
"","1256","2270","False","550","25.0625","1256"
"","1260","2240","False","551","25.0625","1260"
"","1265","2282","False","548","25.0625","1265"
"","1271","2255","False","548","25","1271"
"","1276","2245","False","551","25","1276"
"","1281","2247","False","551","25","1281"
"","1285","2231","False","551","25","1285"
"","1289","2284","False","547","25","1289"
"","1293","2287","False","548","24.9375","1293"
"","1298","2286","False","557","24.875","1298"
"","1302","2259","False","547","24.9375","1302"
"","1306","2197","False","549","24.875","1306"
"","1311","2237","False","557","24.875","1311"
"","1315","2213","False","552","24.875","1315"
"","1319","2262","False","551","24.875","1319"
"","1324","2274","False","551","24.8125","1324"
"","1328","2256","False","548","24.75","1328"
"","1332","2256","False","551","24.75","1332"
"","1337","2271","False","551","24.75","1337"
"","1341","2307","False","551","24.75","1341"
"","1345","2262","False","549","24.75","1345"
"","1350","2268","False","551","24.6875","1350"
"","1354","2299","False","552","24.6875","1354"
"","1359","2291","False","548","24.6875","1359"
"","1365","2266","False","548","24.625","1365"
"","1369","2295","False","549","24.625","1369"
"","1373","2272","False","547","24.625","1373"
"","1377","2286","False","548","24.625","1377"
