sensor_readings,timestamps,sensor_readings/ldr,sensor_readings/soil_moisture,sensor_readings/temperature
,,1405,538,25.875
,,1408,541,25.875
,,1408,543,25.875
,,1412,544,25.875
,,1395,541,25.875
,,1402,539,25.9375
,,1408,541,25.875
,,1402,537,25.875
,,1419,536,25.9375
,,1411,542,25.875
